loss_rate,window_size,source_symbols_available
0.00,2,1000
0.02,2,1000
0.04,2,1000
0.06,2,1000
0.08,2,1000
0.10,2,1000
0.12,2,1000
0.14,2,1000
0.16,2,1000
0.18,2,1000
0.20,2,1000
0.22,2,1000
0.24,2,1000
0.26,2,1000
0.28,2,1000
0.30,2,999
0.32,2,999
0.34,2,999
0.36,2,999
0.38,2,998
0.40,2,996
0.42,2,995
0.44,2,988
0.46,2,983
0.48,2,980
0.50,2,972
0.52,2,961
0.54,2,958
0.56,2,935
0.58,2,919
0.60,2,879
0.62,2,851
0.64,2,814
0.66,2,789
0.68,2,746
0.70,2,686
0.72,2,643
0.74,2,598
0.76,2,559
0.78,2,517
0.80,2,472
0.82,2,425
0.84,2,348
0.86,2,298
0.88,2,228
0.90,2,174
0.92,2,118
0.94,2,84
0.96,2,52
0.98,2,24
1.00,2,0
0.00,5,1000
0.02,5,1000
0.04,5,1000
0.06,5,1000
0.08,5,1000
0.10,5,1000
0.12,5,1000
0.14,5,1000
0.16,5,1000
0.18,5,1000
0.20,5,1000
0.22,5,1000
0.24,5,1000
0.26,5,1000
0.28,5,1000
0.30,5,1000
0.32,5,1000
0.34,5,1000
0.36,5,1000
0.38,5,1000
0.40,5,1000
0.42,5,1000
0.44,5,1000
0.46,5,1000
0.48,5,1000
0.50,5,1000
0.52,5,1000
0.54,5,999
0.56,5,996
0.58,5,990
0.60,5,955
0.62,5,934
0.64,5,901
0.66,5,854
0.68,5,801
0.70,5,656
0.72,5,559
0.74,5,465
0.76,5,392
0.78,5,302
0.80,5,262
0.82,5,206
0.84,5,167
0.86,5,147
0.88,5,118
0.90,5,100
0.92,5,76
0.94,5,53
0.96,5,40
0.98,5,21
1.00,5,0
0.00,8,1000
0.02,8,1000
0.04,8,1000
0.06,8,1000
0.08,8,1000
0.10,8,1000
0.12,8,1000
0.14,8,1000
0.16,8,1000
0.18,8,1000
0.20,8,1000
0.22,8,1000
0.24,8,1000
0.26,8,1000
0.28,8,1000
0.30,8,1000
0.32,8,1000
0.34,8,1000
0.36,8,1000
0.38,8,1000
0.40,8,1000
0.42,8,1000
0.44,8,1000
0.46,8,1000
0.48,8,1000
0.50,8,1000
0.52,8,1000
0.54,8,1000
0.56,8,999
0.58,8,992
0.60,8,992
0.62,8,989
0.64,8,940
0.66,8,911
0.68,8,847
0.70,8,666
0.72,8,465
0.74,8,332
0.76,8,301
0.78,8,258
0.80,8,219
0.82,8,184
0.84,8,159
0.86,8,144
0.88,8,115
0.90,8,97
0.92,8,76
0.94,8,53
0.96,8,40
0.98,8,21
1.00,8,0
0.00,10,1000
0.02,10,1000
0.04,10,1000
0.06,10,1000
0.08,10,1000
0.10,10,1000
0.12,10,1000
0.14,10,1000
0.16,10,1000
0.18,10,1000
0.20,10,1000
0.22,10,1000
0.24,10,1000
0.26,10,1000
0.28,10,1000
0.30,10,1000
0.32,10,1000
0.34,10,1000
0.36,10,1000
0.38,10,1000
0.40,10,1000
0.42,10,1000
0.44,10,1000
0.46,10,1000
0.48,10,1000
0.50,10,1000
0.52,10,1000
0.54,10,1000
0.56,10,999
0.58,10,999
0.60,10,999
0.62,10,991
0.64,10,954
0.66,10,915
0.68,10,848
0.70,10,663
0.72,10,405
0.74,10,304
0.76,10,284
0.78,10,235
0.80,10,205
0.82,10,184
0.84,10,159
0.86,10,144
0.88,10,115
0.90,10,97
0.92,10,76
0.94,10,53
0.96,10,40
0.98,10,21
1.00,10,0
0.00,15,1000
0.02,15,1000
0.04,15,1000
0.06,15,1000
0.08,15,1000
0.10,15,1000
0.12,15,1000
0.14,15,1000
0.16,15,1000
0.18,15,1000
0.20,15,1000
0.22,15,1000
0.24,15,1000
0.26,15,1000
0.28,15,1000
0.30,15,1000
0.32,15,1000
0.34,15,1000
0.36,15,1000
0.38,15,1000
0.40,15,1000
0.42,15,1000
0.44,15,1000
0.46,15,1000
0.48,15,1000
0.50,15,1000
0.52,15,1000
0.54,15,1000
0.56,15,999
0.58,15,999
0.60,15,999
0.62,15,999
0.64,15,981
0.66,15,948
0.68,15,822
0.70,15,531
0.72,15,371
0.74,15,301
0.76,15,269
0.78,15,220
0.80,15,205
0.82,15,184
0.84,15,159
0.86,15,144
0.88,15,115
0.90,15,97
0.92,15,76
0.94,15,53
0.96,15,40
0.98,15,21
1.00,15,0
0.00,20,1000
0.02,20,1000
0.04,20,1000
0.06,20,1000
0.08,20,1000
0.10,20,1000
0.12,20,1000
0.14,20,1000
0.16,20,1000
0.18,20,1000
0.20,20,1000
0.22,20,1000
0.24,20,1000
0.26,20,1000
0.28,20,1000
0.30,20,1000
0.32,20,1000
0.34,20,1000
0.36,20,1000
0.38,20,1000
0.40,20,1000
0.42,20,1000
0.44,20,1000
0.46,20,1000
0.48,20,1000
0.50,20,1000
0.52,20,1000
0.54,20,1000
0.56,20,999
0.58,20,999
0.60,20,999
0.62,20,999
0.64,20,999
0.66,20,982
0.68,20,826
0.70,20,547
0.72,20,370
0.74,20,251
0.76,20,231
0.78,20,220
0.80,20,205
0.82,20,184
0.84,20,159
0.86,20,144
0.88,20,115
0.90,20,97
0.92,20,76
0.94,20,53
0.96,20,40
0.98,20,21
1.00,20,0
